a52dec 0.7.4-11
aalib 1.4rc5-14
absl-py 0.12.0-1
accounts-qml-module 0.7-3
accountsservice 0.6.55-3
ack 3.5.0-1
acl 2.3.1-1
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40rc-1
alembic 1.7.16-1
alsa-card-profiles 1:0.3.24-1
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
aom 2.0.2-1
appstream-glib 0.7.18-1
archlinux-keyring 20210110-1
argon2 20190702-3
asp 6-2
aspell 0.60.8-2
aspnet-runtime 5.0.4.sdk104-1
aspnet-runtime-3.1 3.1.13.sdk113-1
aspnet-targeting-pack 5.0.4.sdk104-1
aspnet-targeting-pack-3.1 3.1.13.sdk113-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.0-1
atk 2.36.0-1
atkmm 2.28.1-1
atool 0.39.0-7
attica 5.80.0-1
attr 2.5.1-1
audit 3.0.1-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+15+ge8a3dd0-3
babeltrace2 2.0.4-1
bamf 0.5.5-1
base 2-2
bash 5.1.004-1
bash-completion 2.11-1
bat 0.18.0-2
bat-extras-git 2020.10.05.r30.g2b2db2b-1
bc 1.07.1-4
biber 1:2.15-1
binutils 2.36.1-2
bison 3.7.6-1
bleachbit 4.2.0-1
blender 17:2.92.0-1
blender-plugin-luxcorerender 2:2.3-2
blosc 1.21.0-1
bluez 5.56-2
bluez-libs 5.56-2
bluez-utils 5.56-2
boost-libs 1.75.0-2
botan 2.17.3-1
bpytop 1.0.63-1
breeze-icons 5.80.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brltty 6.3-1
brotli 1.0.9-4
btrfs-progs 5.11.1-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.63-1
ca-certificates-utils 20181109-4
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.12.2-4
cantarell-fonts 1:0.301-1
cava-git r685.b0deff3-1
cbatticon 1.6.10-2
cblas 3.9.0-3
cdparanoia 10.2-8
ceph-libs 15.2.8-2
chafa 1.4.1-2
chromaprint 1.5.0-3
cifs-utils 6.12-1
clang 11.1.0-1
clazy 1.9-2
clementine 1.4.0rc1+495+g10bf5dc17-2
cmake 3.20.0-1
cmatrix 2.0-2
colord 1.4.5-1
compiler-rt 11.1.0-1
confuse 3.3-3
conky-lua-nv 1.12.1-2
conky-manager2-git 2.72-1
containerd 1.4.4-1
convertlit 1.8-10
coreutils 8.32-1
cpio 2.13-2
cpupower 5.11-1
cpupower-gui-git 1.0.0.r6.gaf4a11f-1
cracklib 2.9.7-2
cronie 1.5.7-2
crypto++ 8.5.0-1
cryptsetup 2.3.5-1
cuda 11.2.2-2
cudnn 8.1.0.77-1
curl 7.75.0-1
dav1d 0.8.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dbus-python 1.2.16-4
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.11-5
dialog 1:1.3_20210324-1
diffutils 3.7-3
discord 0.0.14-1
discord-canary 0.0.119-1
djvulibre 3.5.28-2
dkms 2.8.4-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.84-1
dnssec-anchors 20190629-3
docker 1:20.10.5-1
docker-compose 1.28.6-1
dosbox 0.74.3-2
dosfstools 4.2-1
dotnet-host 5.0.4.sdk104-1
dotnet-runtime 5.0.4.sdk104-1
dotnet-runtime-3.1 3.1.13.sdk113-1
dotnet-sdk 5.0.4.sdk104-1
dotnet-sdk-3.1 3.1.13.sdk113-1
dotnet-targeting-pack 5.0.4.sdk104-1
dotnet-targeting-pack-3.1 3.1.13.sdk113-1
double-conversion 3.1.5-2
dtc 1.6.0-3
dunst 1.5.0-1
e2fsprogs 1.46.2-1
easy-rsa 3.0.8-2
ebook-tools 0.2.2-7
ebtables 2.0.10_4-8
ed 1.17-1
edex-ui-git 2.2.8.pre-1
edk2-ovmf 202102-1
efibootmgr 17-2
efivar 37-4
egl-wayland 1.1.6-1
eglexternalplatform 1.1-2
elfutils 0.183-3
elinks 0.14.0-1
embree 3.12.2-1
enca 1.19-4
enchant 2.2.15-1
exa-git 0.9.0.r192.g435161e-1
exiv2 0.27.3-1
expat 2.3.0-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-2
faudio 21.03.05-1
feh 3.6.3-1
ffmpeg 2:4.3.2-5
ffmpegthumbnailer 2.2.2-2
fftw 3.3.9-1
file 5.39-1
filesystem 2021.01.19-1
findutils 4.8.0-1
firefox-developer-edition 88.0b4-1
flac 1.3.3-2
flameshot 0.9.0-1
flatpak 1.10.2-1
flex 2.6.4-3
fluidsynth 2.1.8-1
fmt 7.1.3-1
fontconfig 2:2.13.93-4
freetype2 2.10.4-1
frei0r-plugins 1.7.0-1
fribidi 1.0.10-1
ftgl 2.4.0-2
fuse-common 3.10.2-1
fuse2 2.9.9-4
fuse3 3.10.2-1
gavl 1.4.0-4
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-6
gcc-libs 10.2.0-6
gcr 3.40.0-1
gd 2.3.2-2
gdb 10.1-4
gdb-common 10.1-4
gdbm 1.19-2
gdk-pixbuf-xlib 2.40.2-1
gdk-pixbuf2 2.42.4-1
geoclue 2.5.7-2
geocode-glib 3.26.2-1
gettext 0.21-1
ghc 8.10.4-1
ghc-libs 8.10.4-1
ghostscript 9.54.0-1
giflib 5.2.1-2
git 2.31.1-1
git-delta-git r.1349.1f4691f-1
glew 2.2.0-2
glfw-x11 3.3.3-1
glib-networking 1:2.68.0-1
glib2 2.68.0-5
glibc 2.33-4
glibmm 2.66.0-1
glm 0.9.9.8-1
glslang 11.2.0-3
glu 9.0.1-2
glusterfs 1:9.0-1
gmp 6.2.1-1
gnome-backgrounds 40rc-1
gnome-keyring 1:40.0-1
gnome-menus 3.36.0-1
gnome-online-accounts 3.39.92-1
gnu-free-fonts 20120503-8
gnupg 2.2.27-1
gnuplot 5.4.1-1
gnutls 3.7.1-1
go 2:1.16.2-1
gobject-introspection-runtime 1.68.0-1
google-chrome-dev 91.0.4455.2-1
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.7-1
graphene 1.10.4-1
graphite 1:1.3.14-1
graphviz 2.46.1-1
grep 3.6-1
groff 1.22.4-5
grub 2:2.06rc1-1
grub-btrfs 4.8.1-1
gsettings-desktop-schemas 40.0-3
gsfonts 20200910-2
gsm 1.0.19-1
gssdp 1.2.3-1
gst-libav 1.18.4-1
gst-plugins-bad 1.18.4-3
gst-plugins-bad-libs 1.18.4-3
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gst-plugins-ugly 1.18.4-2
gstreamer 1.18.4-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.2.0-1
gtk-vnc 1.0.0-2
gtk2 2.24.33-2
gtk3 1:3.24.28-1
gtk4 1:4.2.0-1
gtkmm3 3.24.4-1
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.1-1
gts 0.7.6.121130-2
gufw 21.04.0-1
guile 2.2.6-2
gumbo-parser 0.10.1-2
gupnp 1.2.4-1
gupnp-igd 1.2.0-1
gvfs 1.48.0-2
gvfs-goa 1.48.0-2
gvfs-google 1.48.0-2
gzip 1.10-3
harfbuzz 2.8.0-1
harfbuzz-icu 2.8.0-1
haskell-adjunctions 4.4-228
haskell-aeson 1.5.6.0-15
haskell-aeson-pretty 0.8.8-153
haskell-alsa-core 0.5.0.1-14
haskell-alsa-mixer 0.3.0-70
haskell-ansi-terminal 0.11-106
haskell-ansi-wl-pprint 0.6.9-166
haskell-asn1-encoding 0.9.6-103
haskell-asn1-parse 0.9.5-103
haskell-asn1-types 0.3.4-82
haskell-assoc 1.0.2-72
haskell-async 2.2.3-26
haskell-attoparsec 0.14.1-3
haskell-base-compat 0.11.2-4
haskell-base-compat-batteries 0.11.2-99
haskell-base-orphans 0.8.4-87
haskell-base-unicode-symbols 0.2.4.2-10
haskell-base16-bytestring 1.0.1.0-41
haskell-base64-bytestring 1.2.0.1-48
haskell-basement 0.0.11-10
haskell-bifunctors 5.5.10-61
haskell-blaze-builder 0.4.2.1-2
haskell-blaze-html 0.9.1.2-104
haskell-blaze-markup 0.8.2.8-10
haskell-byteable 0.1.1-22
haskell-call-stack 0.3.0-28
haskell-case-insensitive 1.2.1.0-84
haskell-cereal 0.5.8.1-9
haskell-citeproc 0.3.0.9-9
haskell-clock 0.8.2-40
haskell-cmdargs 0.10.21-1
haskell-colour 2.3.5-164
haskell-commonmark 0.1.1.4-17
haskell-commonmark-extensions 0.2.0.4-48
haskell-commonmark-pandoc 0.2.0.1-89
haskell-comonad 5.0.8-75
haskell-conduit 1.3.4.1-11
haskell-conduit-extra 1.3.5-124
haskell-connection 0.3.1-114
haskell-contravariant 1.5.3-2
haskell-cookie 0.4.5-9
haskell-cryptonite 0.28-24
haskell-data-accessor 0.2.3-9
haskell-data-accessor-template 0.2.1.16-24
haskell-data-accessor-transformers 0.2.1.7-23
haskell-data-default 0.7.1.1-135
haskell-data-default-class 0.1.2.0-21
haskell-data-default-instances-containers 0.0.1-33
haskell-data-default-instances-dlist 0.0.1-148
haskell-data-default-instances-old-locale 0.0.1-33
haskell-data-fix 0.3.1-20
haskell-dbus 1.2.21-13
haskell-digest 0.0.1.2-22
haskell-distributive 0.6.2.1-79
haskell-dlist 1.0-71
haskell-doclayout 0.3.0.2-6
haskell-doctemplates 0.9-40
haskell-emojis 0.1-92
haskell-erf 2.0.0.0-21
haskell-errors 2.3.0-59
haskell-extensible-exceptions 0.1.1.4-33
haskell-file-embed 0.0.13.0-3
haskell-free 5.1.6-31
haskell-gitrev 1.3.1-25
haskell-glob 0.10.1-73
haskell-haddock-library 1.10.0-9
haskell-hashable 1.3.1.0-24
haskell-hinotify 0.4.1-52
haskell-hourglass 0.2.12-127
haskell-hslua 1.3.0.1-24
haskell-hslua-module-path 0.1.0.1-8
haskell-hslua-module-system 0.2.2.1-79
haskell-hslua-module-text 0.3.0.1-67
haskell-hspec 2.7.9-25
haskell-hspec-core 2.7.9-23
haskell-hspec-discover 2.7.9-7
haskell-hspec-expectations 0.8.2-136
haskell-hsyaml 0.2.1.0-97
haskell-http 4000.3.16-6
haskell-http-client 0.7.6-14
haskell-http-client-tls 0.3.5.3-405
haskell-http-conduit 2.3.8-14
haskell-http-types 0.12.3-150
haskell-hunit 1.6.2.0-24
haskell-indexed-traversable 0.1.1-3
haskell-indexed-traversable-instances 0.1-8
haskell-integer-logarithms 1.0.3.1-3
haskell-invariant 0.5.4-59
haskell-ipynb 0.1.0.1-192
haskell-iwlib 0.1.0-16
haskell-jira-wiki-markup 1.3.4-6
haskell-juicypixels 3.3.5-83
haskell-kan-extensions 5.2.2-12
haskell-lens 5-3
haskell-libmpd 0.10.0.0-19
haskell-memory 0.15.0-94
haskell-mime-types 0.1.0.9-11
haskell-monad-loops 0.4.3-22
haskell-mono-traversable 1.0.15.1-124
haskell-netlink 1.1.1.0-7
haskell-network 3.1.2.1-46
haskell-network-uri 2.6.4.1-14
haskell-old-locale 1.0.0.7-27
haskell-old-time 1.1.0.3-27
haskell-open-browser 0.2.1.0-23
haskell-optparse-applicative 0.16.1.0-94
haskell-pandoc-types 1.22-71
haskell-parallel 3.2.2.0-14
haskell-parsec-numbers 0.1.0-15
haskell-pem 0.2.4-159
haskell-pretty-hex 1.1-6
haskell-primitive 0.7.1.0-118
haskell-profunctors 5.6.2-14
haskell-quickcheck 2.14.2-144
haskell-quickcheck-io 0.2.0-298
haskell-random 1.2.0-197
haskell-reflection 2.1.6-77
haskell-regex-base 0.94.0.1-1
haskell-regex-compat 0.95.2.1-1
haskell-regex-posix 0.96.0.0-9
haskell-resourcet 1.2.4.2-76
haskell-roman-numerals 0.5.1.5-27
haskell-safe 0.3.19-5
haskell-safe-exceptions 0.1.7.1-66
haskell-scientific 0.3.6.2-98
haskell-semigroupoids 5.3.5-31
haskell-setenv 0.1.1.3-22
haskell-setlocale 1.0.0.10-1
haskell-sha 1.6.4.4-16
haskell-skylighting 0.10.5.1-3
haskell-skylighting-core 0.10.5.1-3
haskell-socks 0.6.1-104
haskell-split 0.2.3.4-126
haskell-splitmix 0.1.0.3-94
haskell-statevar 1.2.1-2
haskell-streaming-commons 0.2.2.1-74
haskell-strict 0.4.0.1-46
haskell-syb 0.7.2.1-41
